"","Samples","ex30","evii","eviii","ekd","pkd","pd89"
"1","S0234382",1834.05727506402,1,1,1578.06922667603,1340.36603888718,1
"2","S0524838",65709.7066819523,70.7071884647203,14335.5087834535,54140.2497075994,411.497887625575,1
"3","S0319706",18865.0374993989,22.9572675680477,126.705356827073,14111.8380026058,700.887903731519,1
"4","S0527050",1830.07311298149,1,1,1358.56312985545,18133.9768603675,11.5169512964915
"5","S0322562",3213.3288983696,1,1,2820.29829134364,415.693711350218,1
"6","S053891",5086.9538263529,10.1804220692291,1075.1093820998,5261.38184566825,946.583473130594,1
"7","S0334586",2765.42299227712,1,1,1900.76602496174,850.161322739833,1
"8","S0627341",34486.5475978743,57.6989273622339,527.04004830517,26196.9544214884,852.533890569846,1
"9","S0340585",2869.37029079059,1,1,2715.7075966411,1020.29587119166,1
"10","S063377",25480.6627299668,68.8552935551713,1,26506.4751090068,366.221138841069,1
"11","S0344523",4274.43791504549,1,1,3010.02696872709,3679.99050230468,1
"12","S0718056",604.171853965251,1,1,504.701407872736,9757.5692869467,8.4073736451873
"13","S03.814",42990.7535590911,65.2480412677521,7.07751741721979,37676.3986861194,738.984257805261,1
"14","S0917795",193.773806428005,1,1.92016136719811,166.168965412061,471.202458638235,1
"15","S0411224",302.829423325762,1,7.63361369946729,226.542865781888,56648.744186601,82.2617678184744
"16","S1012095",507.547407811508,1,1,532.459575408795,864.621810039292,1
"17","S043057",94103.9308119935,2773.44174446099,139.258249723776,83261.5733336553,350.283999302172,1
"18","S101326",105384.910689622,1,1,92964.8308298794,4670.20295479052,1
"19","S0432265",2166.62396838034,1,1,1686.61897419496,14544.203378586,6.1706103502913
"20","S1025951",33666.5159596461,1523.66377124803,2712.08427563674,25461.4905460944,2924.48105819778,6.84195472662988
"21","S0517761",28026.2625959763,463.831785468857,42.4952635247941,21773.2455771247,71.2227536573439,1
"22","S10695",411.513683132619,6.01938127847743,1,330.128000974449,430.515626543998,1
"23","S0521202",1352.27942322817,2.30558398379533,1,1051.99510695524,3698.41384210837,3.61116796759066
"24","S108074",542.454004839219,1,1,570.220876882256,606.317810538204,1
